Nat,Egg Group I,Egg Group II
183,Water 1,Fairy
184,Water 1,Fairy
185,Mineral,
186,Water 1,
187,Fairy,Grass
188,Fairy,Grass
189,Fairy,Grass
190,Field,
191,Grass,
192,Grass,
193,Bug,
194,Water 1,Field
195,Water 1,Field
196,Field,
197,Field,
198,Flying,
199,Monster,Water 1
200,Amorphous,
201,Undiscovered,
202,Amorphous,
203,Field,
204,Bug,
205,Bug,
206,Field,
207,Bug,
208,Mineral,
209,Field,Fairy
210,Field,Fairy
211,Water 2,
212,Bug,
213,Bug,
214,Bug,
215,Field,
216,Field,
217,Field,
218,Amorphous,
219,Amorphous,
220,Field,
221,Field,
222,Water 1,Water 3
223,Water 1,Water 2
224,Water 1,Water 2
225,Water 1,Field
226,Water 1,
227,Flying,
228,Field,
229,Field,
230,Water 1,Dragon
231,Field,
232,Field,
233,Mineral,
234,Field,
235,Field,
236,Undiscovered,
237,Human-Like,
238,Undiscovered,
239,Undiscovered,
240,Undiscovered,
241,Field,
242,Fairy,
243,Undiscovered,
244,Undiscovered,
245,Undiscovered,
246,Monster,
247,Monster,
248,Monster,
249,Undiscovered,
250,Undiscovered,
251,Undiscovered,
252,Monster,Dragon
253,Monster,Dragon
254,Monster,Dragon
255,Field,
256,Field,
257,Field,
258,Monster,Water 1
259,Monster,Water 1
260,Monster,Water 1
261,Field,
262,Field,
263,Field,
264,Field,
265,Bug,
266,Bug,
267,Bug,
268,Bug,
269,Bug,
270,Water 1,Grass
271,Water 1,Grass
272,Water 1,Grass
273,Field,Grass
274,Field,Grass
275,Field,Grass
276,Flying,
277,Flying,
278,Water 1,Flying
279,Water 1,Flying
280,Amorphous,
281,Amorphous,
282,Amorphous,
283,Water 1,Bug
284,Water 1,Bug
285,Fairy,Grass
286,Fairy,Grass
287,Field,
288,Field,
289,Field,
290,Bug,
291,Bug,
292,Mineral,
293,Monster,Field
294,Monster,Field
295,Monster,Field
296,Human-Like,
297,Human-Like,
298,Undiscovered,
299,Mineral,
300,Field,Fairy
301,Field,Fairy
302,Human-Like,
303,Field,Fairy
304,Monster,
305,Monster,
306,Monster,
307,Human-Like,
308,Human-Like,
309,Field,
310,Field,
311,Fairy,
312,Fairy,
313,Bug,Human-Like
314,Bug,Human-Like
315,Fairy,Grass
316,Amorphous,
317,Amorphous,
318,Water 2,
319,Water 2,
320,Field,Water 2
321,Field,Water 2
322,Field,
323,Field,
324,Field,
325,Field,
326,Field,
327,Field,Human-Like
328,Bug,
329,Bug,
330,Bug,
331,Grass,Human-Like
332,Grass,Human-Like
333,Flying,Dragon
334,Flying,Dragon
335,Field,
336,Field,Dragon
337,Mineral,
338,Mineral,
339,Water 2,
340,Water 2,
341,Water 1,Water 3
342,Water 1,Water 3
343,Mineral,
344,Mineral,
345,Water 3,
346,Water 3,
347,Water 3,
348,Water 3,
349,Water 1,Dragon
350,Water 1,Dragon
351,Fairy,Amorphous
352,Field,
353,Amorphous,
354,Amorphous,
355,Amorphous,
356,Amorphous,
357,Monster,Grass
358,Amorphous,
359,Field,
360,Undiscovered,
361,Fairy,Mineral
362,Fairy,Mineral
363,Water 1,Field
364,Water 1,Field
365,Water 1,Field
366,Water 1,
367,Water 1,
368,Water 1,
369,Water 1,Water 2
370,Water 2,
371,Dragon,
372,Dragon,
373,Dragon,
374,Mineral,
375,Mineral,
376,Mineral,
377,Undiscovered,
378,Undiscovered,
379,Undiscovered,
380,Undiscovered,
381,Undiscovered,
382,Undiscovered,
383,Undiscovered,
384,Undiscovered,
385,Undiscovered,
386,Undiscovered,
387,Monster,Grass
388,Monster,Grass
389,Monster,Grass
390,Field,Human-Like
391,Field,Human-Like
392,Field,Human-Like
393,Water 1,Field
394,Water 1,Field
395,Water 1,Field
396,Flying,
397,Flying,
398,Flying,
399,Water 1,Field
400,Water 1,Field
401,Bug,
402,Bug,
403,Field,
404,Field,
405,Field,
406,Undiscovered,
407,Fairy,Grass
408,Monster,
409,Monster,
410,Monster,
411,Monster,
412,Bug,
413,Bug,
414,Bug,
415,Bug,
416,Bug,
417,Field,Fairy
418,Water 1,Field
419,Water 1,Field
420,Fairy,Grass
421,Fairy,Grass
422,Water 1,Amorphous
423,Water 1,Amorphous
424,Field,
425,Amorphous,
426,Amorphous,
427,Field,Human-Like
428,Field,Human-Like
429,Amorphous,
430,Flying,
431,Field,
432,Field,
433,Undiscovered,
434,Field,
435,Field,
436,Mineral,
437,Mineral,
438,Undiscovered,
439,Undiscovered,
440,Undiscovered,
441,Flying,
442,Amorphous,
443,Monster,Dragon
444,Monster,Dragon
445,Monster,Dragon
446,Undiscovered,
447,Undiscovered,
448,Field,Human-Like
449,Field,
450,Field,
451,Bug,Water 3
452,Bug,Water 3
453,Human-Like,
454,Human-Like,
455,Grass,
456,Water 2,
457,Water 2,
458,Undiscovered,
459,Monster,Grass
460,Monster,Grass
461,Field,
462,Mineral,
463,Monster,
464,Monster,Field
465,Grass,
466,Human-Like,
467,Human-Like,
468,Flying,Fairy
469,Bug,
470,Field,
471,Field,
472,Bug,
473,Field,
474,Mineral,
475,Amorphous,
476,Mineral,
477,Amorphous,
478,Fairy,Mineral
479,Amorphous,
480,Undiscovered,
481,Undiscovered,
482,Undiscovered,
483,Undiscovered,
484,Undiscovered,
485,Undiscovered,
486,Undiscovered,
487,Undiscovered,
488,Undiscovered,
489,Water 1,Fairy
490,Water 1,Fairy
491,Undiscovered,
492,Undiscovered,
493,Undiscovered,
494,Undiscovered,
495,Field,Grass
496,Field,Grass
497,Field,Grass
498,Field,
499,Field,
500,Field,
501,Field,
502,Field,
503,Field,
504,Field,
505,Field,
506,Field,
507,Field,
508,Field,
509,Field,
510,Field,
511,Field,
512,Field,
513,Field,
514,Field,
515,Field,
516,Field,
517,Field,
518,Field,
519,Flying,
520,Flying,
521,Flying,
522,Field,
523,Field,
524,Mineral,
525,Mineral,
526,Mineral,
527,Field,Flying
528,Field,Flying
529,Field,
530,Field,
531,Fairy,
532,Human-Like,
533,Human-Like,
534,Human-Like,
535,Water 1,
536,Water 1,
537,Water 1,
538,Human-Like,
539,Human-Like,
540,Bug,
541,Bug,
542,Bug,
543,Bug,
544,Bug,
545,Bug,
546,Grass,Fairy
547,Grass,Fairy
548,Grass,
549,Grass,
550,Water 2,
551,Field,
552,Field,
553,Field,
554,Field,
555,Field,
556,Grass,
557,Bug,Mineral
558,Bug,Mineral
559,Field,Dragon
560,Field,Dragon
561,Flying,
562,Mineral,Amorphous
563,Mineral,Amorphous
564,Water 1,Water 3
565,Water 1,Water 3
566,Flying,Water 3
567,Flying,Water 3
568,Mineral,
569,Mineral,
570,Field,
571,Field,
572,Field,
573,Field,
574,Human-Like,
575,Human-Like,
576,Human-Like,
577,Amorphous,
578,Amorphous,
579,Amorphous,
580,Water 1,Flying
581,Water 1,Flying
582,Mineral,
583,Mineral,
584,Mineral,
585,Field,
586,Field,
587,Field,
588,Bug,
589,Bug,
590,Grass,
591,Grass,
592,Amorphous,
593,Amorphous,
594,Water 1,Water 2
595,Bug,
596,Bug,
597,Grass,Mineral
598,Grass,Mineral
599,Mineral,
600,Mineral,
601,Mineral,
602,Amorphous,
603,Amorphous,
604,Amorphous,
605,Human-Like,
606,Human-Like,
607,Amorphous,
608,Amorphous,
609,Amorphous,
610,Monster,Dragon
611,Monster,Dragon
612,Monster,Dragon
613,Field,
614,Field,
615,Mineral,
616,Bug,
617,Bug,
618,Water 1,Amorphous
619,Field,Human-Like
620,Field,Human-Like
621,Dragon,Monster
622,Mineral,
623,Mineral,
624,Human-Like,
625,Human-Like,
626,Field,
627,Flying,
628,Flying,
629,Flying,
630,Flying,
631,Field,
632,Bug,
633,Dragon,
634,Dragon,
635,Dragon,
636,Bug,
637,Bug,
638,Undiscovered,
639,Undiscovered,
640,Undiscovered,
641,Undiscovered,
642,Undiscovered,
643,Undiscovered,
644,Undiscovered,
645,Undiscovered,
646,Undiscovered,
647,Undiscovered,
648,Undiscovered,
649,Undiscovered,
650,Field,
651,Field,
652,Field,
653,Field,
654,Field,
655,Field,
656,Water 1,
657,Water 1,
658,Water 1,
659,Field,
660,Field,
661,Flying,
662,Flying,
663,Flying,
664,Bug,
665,Bug,
666,Bug,
667,Field,
668,Field,
669,Fairy,
670,Fairy,
671,Fairy,
672,Field,
673,Field,
674,Field,Human-Like
675,Field,Human-Like
676,Field,
677,Field,
678,Field,
679,Mineral,
680,Mineral,
681,Mineral,
682,Fairy,
683,Fairy,
684,Fairy,
685,Fairy,
686,Water 1,Water 2
687,Water 1,Water 2
688,Water 3,
689,Water 3,
690,Water 1,Dragon
691,Water 1,Dragon
692,Water 1,Water 3
693,Water 1,Water 3
694,Monster,Dragon
695,Monster,Dragon
696,Monster,Dragon
697,Monster,Dragon
698,Monster,
699,Monster,
700,Field,
701,Human-Like,
702,Field,Fairy
703,Fairy,Mineral
704,Dragon,
705,Dragon,
706,Dragon,
707,Mineral,
708,Grass,Amorphous
709,Grass,Amorphous
710,Amorphous,
711,Amorphous,
712,Monster,
713,Monster,
714,Flying,
715,Flying,
716,Undiscovered,
717,Undiscovered,
718,Undiscovered,
719,Undiscovered,
720,Undiscovered,
721,Undiscovered,
722,Flying,
723,Flying,
724,Flying,
725,Field,
726,Field,
727,Field,
728,Water 1,Field
729,Water 1,Field
730,Water 1,Field
731,Flying,
732,Flying,
733,Flying,
734,Field,
735,Field,
736,Bug,
737,Bug,
738,Bug,
739,Water 3,
740,Water 3,
741,Flying,
742,Bug,Fairy
743,Bug,Fairy
744,Field,
745,Field,
746,Water 2,
747,Water 1,
748,Water 1,
749,Field,
750,Field,
751,Water 1,Bug
752,Water 1,Bug
753,Grass,
754,Grass,
755,Grass,
756,Grass,
757,Monster,Dragon
758,Monster,Dragon
759,Field,
760,Field,
761,Grass,
762,Grass,
763,Grass,
764,Grass,
765,Field,
766,Field,
767,Bug,Water 3
768,Bug,Water 3
769,Amorphous,
770,Amorphous,
771,Water 1,
772,Undiscovered,
773,Undiscovered,
774,Mineral,
775,Field,
776,Monster,Dragon
777,Field,Fairy
778,Amorphous,
779,Water 2,
780,Monster,Dragon
781,Mineral,
782,Dragon,
783,Dragon,
784,Dragon,
785,Undiscovered,
786,Undiscovered,
787,Undiscovered,
788,Undiscovered,
789,Undiscovered,
790,Undiscovered,
791,Undiscovered,
792,Undiscovered,
793,Undiscovered,
794,Undiscovered,
795,Undiscovered,
796,Undiscovered,
797,Undiscovered,
798,Undiscovered,
799,Undiscovered,
800,Undiscovered,
801,Undiscovered,
802,Undiscovered,
